2026-03-20 18:00:08 | DEBUG    | telegram.ext.ExtBot       | Exiting: get_updates
2026-03-20 18:00:08 | DEBUG    | telegram.ext.ExtBot       | Entering: get_updates
2026-03-20 18:00:18 | DEBUG    | telegram.ext.ExtBot       | No new updates found.
2026-03-20 18:00:18 | DEBUG    | telegram.ext.ExtBot       | ()
2026-03-20 18:00:18 | DEBUG    | telegram.ext.ExtBot       | Exiting: get_updates
2026-03-20 18:00:18 | DEBUG    | telegram.ext.ExtBot       | Entering: get_updates
2026-03-20 18:00:28 | DEBUG    | telegram.ext.ExtBot       | No new updates found.
2026-03-20 18:00:28 | DEBUG    | telegram.ext.ExtBot       | ()
2026-03-20 18:00:28 | DEBUG    | telegram.ext.ExtBot       | Exiting: get_updates
2026-03-20 18:00:28 | DEBUG    | telegram.ext.ExtBot       | Entering: get_updates
2026-03-20 18:00:39 | DEBUG    | telegram.ext.ExtBot       | No new updates found.
2026-03-20 18:00:39 | DEBUG    | telegram.ext.ExtBot       | ()
2026-03-20 18:00:39 | DEBUG    | telegram.ext.ExtBot       | Exiting: get_updates
2026-03-20 18:00:39 | DEBUG    | telegram.ext.ExtBot       | Entering: get_updates
2026-03-20 18:00:41 | DEBUG    | telegram.ext.ExtBot       | Getting updates: [541242021]
2026-03-20 18:00:41 | DEBUG    | telegram.ext.ExtBot       | (Update(message=Message(channel_chat_created=False, chat=Chat(first_name='Данил', id=7422733657, type=<ChatType.PRIVATE>, username='danil14055'), date=datetime.datetime(2026, 3, 20, 15, 0, 39, tzinfo=datetime.timezone.utc), delete_chat_photo=False, entities=(MessageEntity(length=6, offset=0, type=<MessageEntityType.BOT_COMMAND>),), from_user=User(first_name='Данил', id=7422733657, is_bot=False, language_code='ru', username='danil14055'), group_chat_created=False, message_id=1, supergroup_chat_created=False, text='/start'), update_id=541242021),)
2026-03-20 18:00:41 | DEBUG    | telegram.ext.ExtBot       | Exiting: get_updates
2026-03-20 18:00:41 | DEBUG    | telegram.ext.ExtBot       | Entering: get_updates
2026-03-20 18:00:41 | DEBUG    | telegram.ext.Application  | Processing update Update(message=Message(channel_chat_created=False, chat=Chat(first_name='Данил', id=7422733657, type=<ChatType.PRIVATE>, username='danil14055'), date=datetime.datetime(2026, 3, 20, 15, 0, 39, tzinfo=datetime.timezone.utc), delete_chat_photo=False, entities=(MessageEntity(length=6, offset=0, type=<MessageEntityType.BOT_COMMAND>),), from_user=User(first_name='Данил', id=7422733657, is_bot=False, language_code='ru', username='danil14055'), group_chat_created=False, message_id=1, supergroup_chat_created=False, text='/start'), update_id=541242021)
2026-03-20 18:00:41 | DEBUG    | aiosqlite                 | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x000001D90F2D93F0>, '\n            INSERT INTO users (user_id, username, first_name, last_name)\n            VALUES (?, ?, ?, ?)\n            ON CONFLICT(user_id) DO UPDATE SET\n                username   = excluded.username,\n                first_name = excluded.first_name,\n                last_name  = excluded.last_name\n            ', (7422733657, 'danil14055', 'Данил', None))
2026-03-20 18:00:41 | DEBUG    | aiosqlite                 | operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x000001D90F2D93F0>, '\n            INSERT INTO users (user_id, username, first_name, last_name)\n            VALUES (?, ?, ?, ?)\n            ON CONFLICT(user_id) DO UPDATE SET\n                username   = excluded.username,\n                first_name = excluded.first_name,\n                last_name  = excluded.last_name\n            ', (7422733657, 'danil14055', 'Данил', None)) completed
2026-03-20 18:00:41 | DEBUG    | aiosqlite                 | executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x000001D90F2D93F0>)
2026-03-20 18:00:41 | DEBUG    | aiosqlite                 | operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x000001D90F2D93F0>) completed
2026-03-20 18:00:41 | DEBUG    | database.db               | Upserted user: 7422733657 (@danil14055)
